  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 65(2)-215                                  
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -13.750  -0.6686   0.08279   0.07875  -0.0544   1.0000   0.0213
 -13.500  -0.7113   0.07234   0.06806  -0.0608   1.0000   0.0211
 -13.250  -0.7416   0.06536   0.06087  -0.0641   1.0000   0.0210
 -13.000  -0.7655   0.05993   0.05523  -0.0658   1.0000   0.0210
 -12.750  -0.7846   0.05552   0.05061  -0.0664   1.0000   0.0211
 -12.500  -0.8006   0.05169   0.04656  -0.0663   1.0000   0.0212
 -12.250  -0.8135   0.04837   0.04302  -0.0655   1.0000   0.0213
 -12.000  -0.8233   0.04548   0.03989  -0.0642   1.0000   0.0215
 -11.750  -0.8303   0.04295   0.03713  -0.0625   1.0000   0.0219
 -11.500  -0.8347   0.04072   0.03467  -0.0605   1.0000   0.0222
 -11.250  -0.8381   0.03878   0.03250  -0.0581   1.0000   0.0226
 -11.000  -0.8415   0.03710   0.03059  -0.0550   1.0000   0.0230
 -10.750  -0.8362   0.03537   0.02852  -0.0535   0.9872   0.0235
 -10.500  -0.8116   0.03309   0.02604  -0.0550   0.9752   0.0239
 -10.250  -0.7841   0.03133   0.02416  -0.0566   0.9654   0.0245
 -10.000  -0.7565   0.02985   0.02254  -0.0580   0.9558   0.0250
  -9.750  -0.7286   0.02847   0.02101  -0.0592   0.9467   0.0256
  -9.500  -0.7033   0.02731   0.01970  -0.0597   0.9361   0.0264
  -9.250  -0.6792   0.02626   0.01850  -0.0598   0.9257   0.0274
  -9.000  -0.6549   0.02528   0.01735  -0.0598   0.9165   0.0283
  -8.750  -0.6323   0.02439   0.01632  -0.0594   0.9064   0.0289
  -8.500  -0.6089   0.02334   0.01519  -0.0591   0.8979   0.0296
  -8.250  -0.5894   0.02241   0.01424  -0.0582   0.8887   0.0303
  -8.000  -0.5718   0.02169   0.01347  -0.0570   0.8798   0.0312
  -7.750  -0.5543   0.02102   0.01275  -0.0556   0.8713   0.0320
  -7.500  -0.5368   0.02041   0.01208  -0.0543   0.8627   0.0333
  -7.250  -0.5189   0.01985   0.01142  -0.0530   0.8553   0.0346
  -7.000  -0.5006   0.01931   0.01078  -0.0517   0.8478   0.0359
  -6.750  -0.4852   0.01858   0.01003  -0.0501   0.8406   0.0373
  -6.500  -0.4675   0.01801   0.00940  -0.0488   0.8339   0.0389
  -6.250  -0.4485   0.01751   0.00885  -0.0477   0.8268   0.0409
  -6.000  -0.4284   0.01706   0.00828  -0.0466   0.8213   0.0431
  -5.750  -0.4086   0.01655   0.00776  -0.0456   0.8146   0.0471
  -5.500  -0.3874   0.01613   0.00729  -0.0448   0.8089   0.0522
  -5.250  -0.3664   0.01566   0.00679  -0.0439   0.8041   0.0605
  -5.000  -0.3455   0.01516   0.00636  -0.0431   0.7978   0.0784
  -4.750  -0.3276   0.01438   0.00586  -0.0420   0.7923   0.1349
  -4.500  -0.3128   0.01330   0.00528  -0.0407   0.7873   0.2481
  -4.250  -0.3007   0.01202   0.00476  -0.0389   0.7813   0.4105
  -4.000  -0.2806   0.01159   0.00478  -0.0376   0.7766   0.5255
  -3.750  -0.2548   0.01154   0.00475  -0.0372   0.7729   0.5667
  -3.500  -0.2292   0.01159   0.00485  -0.0367   0.7678   0.6037
  -3.250  -0.2042   0.01183   0.00518  -0.0357   0.7629   0.6422
  -3.000  -0.1778   0.01202   0.00532  -0.0352   0.7588   0.6625
  -2.750  -0.1501   0.01205   0.00529  -0.0350   0.7550   0.6699
  -2.500  -0.1224   0.01204   0.00523  -0.0351   0.7504   0.6752
  -2.250  -0.0945   0.01199   0.00508  -0.0354   0.7462   0.6802
  -2.000  -0.0663   0.01196   0.00497  -0.0355   0.7425   0.6835
  -1.750  -0.0382   0.01194   0.00490  -0.0356   0.7387   0.6868
  -1.500  -0.0103   0.01193   0.00486  -0.0358   0.7342   0.6908
  -1.250   0.0178   0.01190   0.00477  -0.0360   0.7303   0.6949
  -1.000   0.0461   0.01188   0.00469  -0.0362   0.7269   0.6987
  -0.750   0.0743   0.01188   0.00467  -0.0364   0.7236   0.7019
  -0.500   0.1020   0.01189   0.00469  -0.0365   0.7191   0.7055
  -0.250   0.1301   0.01189   0.00467  -0.0368   0.7152   0.7095
   0.000   0.1586   0.01190   0.00463  -0.0371   0.7119   0.7139
   0.250   0.1869   0.01191   0.00463  -0.0372   0.7090   0.7170
   0.500   0.2144   0.01195   0.00471  -0.0373   0.7048   0.7205
   0.750   0.2423   0.01198   0.00476  -0.0375   0.7009   0.7245
   1.000   0.2706   0.01201   0.00478  -0.0378   0.6974   0.7292
   1.250   0.2987   0.01204   0.00483  -0.0379   0.6944   0.7326
   1.500   0.3265   0.01209   0.00492  -0.0380   0.6909   0.7363
   1.750   0.3540   0.01215   0.00505  -0.0381   0.6869   0.7405
   2.000   0.3820   0.01221   0.00513  -0.0384   0.6832   0.7453
   2.250   0.4099   0.01225   0.00523  -0.0384   0.6798   0.7491
   2.500   0.4382   0.01231   0.00533  -0.0386   0.6770   0.7532
   2.750   0.4650   0.01241   0.00553  -0.0386   0.6726   0.7579
   3.000   0.4926   0.01249   0.00567  -0.0388   0.6683   0.7628
   3.250   0.5201   0.01252   0.00579  -0.0387   0.6638   0.7666
   3.500   0.5471   0.01257   0.00591  -0.0386   0.6581   0.7713
   3.750   0.5738   0.01259   0.00602  -0.0385   0.6504   0.7769
   4.000   0.6002   0.01256   0.00605  -0.0381   0.6409   0.7815
   4.250   0.6246   0.01243   0.00596  -0.0372   0.6219   0.7862
   4.500   0.6476   0.01228   0.00576  -0.0360   0.5903   0.7918
   4.750   0.6702   0.01229   0.00573  -0.0349   0.5567   0.7972
   5.000   0.6924   0.01239   0.00582  -0.0338   0.5233   0.8026
   5.250   0.7103   0.01272   0.00590  -0.0320   0.4564   0.8093
   5.500   0.7144   0.01373   0.00635  -0.0281   0.3459   0.8157
   5.750   0.7174   0.01493   0.00707  -0.0244   0.2510   0.8231
   6.000   0.7214   0.01606   0.00781  -0.0210   0.1717   0.8305
   6.250   0.7270   0.01705   0.00851  -0.0178   0.1126   0.8387
   6.500   0.7336   0.01784   0.00914  -0.0147   0.0784   0.8473
   6.750   0.7419   0.01852   0.00976  -0.0118   0.0605   0.8569
   7.000   0.7520   0.01917   0.01043  -0.0092   0.0509   0.8663
   7.250   0.7637   0.01982   0.01111  -0.0070   0.0454   0.8768
   7.500   0.7746   0.02050   0.01185  -0.0047   0.0416   0.8887
   7.750   0.7849   0.02123   0.01264  -0.0024   0.0392   0.9025
   8.000   0.7969   0.02190   0.01343  -0.0005   0.0368   0.9191
   8.250   0.8109   0.02264   0.01425   0.0009   0.0348   0.9394
   8.500   0.8292   0.02373   0.01538   0.0007   0.0326   0.9697
   8.750   0.8445   0.02464   0.01636   0.0013   0.0312   1.0000
   9.000   0.8587   0.02567   0.01743   0.0022   0.0301   1.0000
   9.250   0.8728   0.02671   0.01853   0.0030   0.0292   1.0000
   9.500   0.8867   0.02780   0.01964   0.0039   0.0282   1.0000
   9.750   0.9005   0.02892   0.02078   0.0047   0.0275   1.0000
  10.000   0.9137   0.03015   0.02200   0.0056   0.0266   1.0000
  10.250   0.9280   0.03142   0.02330   0.0064   0.0259   1.0000
  10.500   0.9444   0.03249   0.02447   0.0071   0.0251   1.0000
  10.750   0.9607   0.03360   0.02567   0.0077   0.0245   1.0000
  11.000   0.9768   0.03479   0.02694   0.0084   0.0237   1.0000
  11.250   0.9930   0.03602   0.02825   0.0090   0.0231   1.0000
  11.500   1.0091   0.03732   0.02963   0.0096   0.0226   1.0000
  11.750   1.0247   0.03866   0.03105   0.0101   0.0222   1.0000
  12.000   1.0397   0.04008   0.03254   0.0107   0.0218   1.0000
  12.250   1.0546   0.04161   0.03413   0.0112   0.0215   1.0000
  12.500   1.0704   0.04336   0.03595   0.0116   0.0211   1.0000
  12.750   1.0819   0.04536   0.03813   0.0123   0.0208   1.0000
  13.000   1.0889   0.04747   0.04049   0.0131   0.0206   1.0000
  13.250   1.0922   0.04983   0.04310   0.0138   0.0202   1.0000
  13.500   1.0943   0.05238   0.04589   0.0145   0.0199   1.0000
  13.750   1.0931   0.05520   0.04895   0.0150   0.0195   1.0000
  14.000   1.0904   0.05822   0.05219   0.0154   0.0192   1.0000
  14.250   1.0851   0.06163   0.05583   0.0155   0.0190   1.0000
  14.500   1.0769   0.06546   0.05989   0.0153   0.0188   1.0000
  14.750   1.0659   0.06971   0.06438   0.0148   0.0187   1.0000
  15.000   1.0532   0.07435   0.06924   0.0137   0.0186   1.0000
  15.250   1.0374   0.07972   0.07484   0.0121   0.0185   1.0000
  15.500   1.0180   0.08599   0.08134   0.0096   0.0185   1.0000
  15.750   0.9954   0.09327   0.08887   0.0062   0.0185   1.0000
  16.000   0.9645   0.10284   0.09871   0.0010   0.0186   1.0000
  16.250   0.9270   0.11513   0.11125  -0.0067   0.0188   1.0000
