  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0015                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -13.250  -0.8517   0.08278   0.07391  -0.0340   1.0000   0.0978
 -13.000  -0.8995   0.07280   0.06365  -0.0392   1.0000   0.0979
 -12.750  -0.9197   0.06746   0.05812  -0.0408   1.0000   0.0991
 -12.500  -0.9361   0.06298   0.05343  -0.0414   1.0000   0.1006
 -12.250  -0.9504   0.05904   0.04925  -0.0411   1.0000   0.1023
 -12.000  -0.9630   0.05549   0.04541  -0.0402   1.0000   0.1043
 -11.750  -0.9743   0.05228   0.04184  -0.0384   1.0000   0.1063
 -11.500  -0.9598   0.05075   0.04042  -0.0375   1.0000   0.1092
 -11.250  -0.9543   0.04894   0.03854  -0.0360   1.0000   0.1124
 -11.000  -0.9528   0.04690   0.03628  -0.0340   1.0000   0.1161
 -10.750  -0.9490   0.04495   0.03413  -0.0319   1.0000   0.1201
 -10.500  -0.9372   0.04365   0.03290  -0.0304   1.0000   0.1244
 -10.250  -0.9292   0.04205   0.03114  -0.0285   1.0000   0.1299
 -10.000  -0.9182   0.04059   0.02963  -0.0268   1.0000   0.1356
  -9.750  -0.9067   0.03932   0.02831  -0.0251   1.0000   0.1420
  -9.500  -0.8953   0.03797   0.02687  -0.0233   1.0000   0.1494
  -9.250  -0.8831   0.03683   0.02573  -0.0215   1.0000   0.1574
  -9.000  -0.8704   0.03567   0.02456  -0.0196   1.0000   0.1661
  -8.750  -0.8582   0.03456   0.02331  -0.0177   1.0000   0.1765
  -8.500  -0.8450   0.03360   0.02247  -0.0158   1.0000   0.1864
  -8.250  -0.8318   0.03263   0.02150  -0.0138   1.0000   0.1979
  -8.000  -0.8185   0.03170   0.02054  -0.0118   1.0000   0.2108
  -7.750  -0.8051   0.03084   0.01966  -0.0097   1.0000   0.2244
  -7.500  -0.7915   0.03005   0.01896  -0.0076   1.0000   0.2384
  -7.250  -0.7775   0.02930   0.01826  -0.0055   1.0000   0.2533
  -7.000  -0.7633   0.02859   0.01760  -0.0034   1.0000   0.2693
  -6.750  -0.7487   0.02792   0.01697  -0.0013   1.0000   0.2860
  -6.500  -0.7338   0.02730   0.01639   0.0008   1.0000   0.3037
  -6.250  -0.7187   0.02672   0.01586   0.0029   1.0000   0.3221
  -6.000  -0.7033   0.02619   0.01536   0.0049   1.0000   0.3413
  -5.750  -0.6876   0.02569   0.01489   0.0069   1.0000   0.3612
  -5.500  -0.6716   0.02524   0.01450   0.0089   1.0000   0.3812
  -5.250  -0.6552   0.02483   0.01418   0.0109   1.0000   0.4014
  -5.000  -0.6385   0.02446   0.01387   0.0129   1.0000   0.4221
  -4.750  -0.6217   0.02413   0.01360   0.0148   1.0000   0.4436
  -4.500  -0.6046   0.02382   0.01333   0.0166   1.0000   0.4655
  -4.250  -0.5874   0.02354   0.01310   0.0184   1.0000   0.4877
  -4.000  -0.5693   0.02332   0.01296   0.0202   1.0000   0.5091
  -3.750  -0.5512   0.02313   0.01284   0.0219   1.0000   0.5309
  -3.500  -0.5332   0.02297   0.01274   0.0236   1.0000   0.5535
  -3.250  -0.5151   0.02283   0.01263   0.0252   1.0000   0.5766
  -3.000  -0.4965   0.02277   0.01266   0.0268   1.0000   0.5988
  -2.750  -0.4780   0.02274   0.01272   0.0284   0.9999   0.6214
  -2.500  -0.4368   0.02280   0.01280   0.0256   0.9893   0.6497
  -2.250  -0.3952   0.02294   0.01302   0.0231   0.9785   0.6753
  -2.000  -0.3535   0.02305   0.01317   0.0206   0.9675   0.7018
  -1.750  -0.3127   0.02318   0.01335   0.0184   0.9556   0.7263
  -1.500  -0.2722   0.02333   0.01354   0.0164   0.9430   0.7494
  -1.250  -0.2305   0.02348   0.01371   0.0142   0.9305   0.7721
  -1.000  -0.1841   0.02361   0.01385   0.0112   0.9194   0.7942
  -0.750  -0.1395   0.02372   0.01397   0.0085   0.9065   0.8144
  -0.500  -0.0960   0.02383   0.01409   0.0062   0.8924   0.8328
  -0.250  -0.0504   0.02389   0.01416   0.0035   0.8785   0.8500
   0.000   0.0000   0.02393   0.01420   0.0000   0.8647   0.8647
   0.250   0.0504   0.02389   0.01416  -0.0035   0.8500   0.8785
   0.500   0.0960   0.02383   0.01409  -0.0062   0.8328   0.8924
   0.750   0.1395   0.02372   0.01397  -0.0085   0.8145   0.9065
   1.000   0.1841   0.02361   0.01385  -0.0112   0.7942   0.9194
   1.250   0.2305   0.02348   0.01371  -0.0142   0.7721   0.9306
   1.500   0.2722   0.02333   0.01354  -0.0164   0.7494   0.9430
   1.750   0.3127   0.02318   0.01335  -0.0184   0.7263   0.9556
   2.000   0.3534   0.02305   0.01317  -0.0206   0.7018   0.9676
   2.250   0.3952   0.02293   0.01302  -0.0231   0.6753   0.9786
   2.500   0.4368   0.02280   0.01279  -0.0256   0.6498   0.9893
   2.750   0.4780   0.02274   0.01272  -0.0284   0.6214   0.9999
   3.000   0.4964   0.02276   0.01266  -0.0267   0.5988   1.0000
   3.250   0.5150   0.02283   0.01263  -0.0252   0.5767   1.0000
   3.500   0.5331   0.02296   0.01273  -0.0236   0.5535   1.0000
   3.750   0.5511   0.02313   0.01284  -0.0219   0.5310   1.0000
   4.000   0.5692   0.02332   0.01295  -0.0202   0.5091   1.0000
   4.250   0.5873   0.02354   0.01309  -0.0184   0.4878   1.0000
   4.500   0.6045   0.02382   0.01332  -0.0166   0.4655   1.0000
   4.750   0.6216   0.02413   0.01359  -0.0148   0.4436   1.0000
   5.000   0.6384   0.02446   0.01387  -0.0129   0.4221   1.0000
   5.250   0.6551   0.02483   0.01418  -0.0109   0.4014   1.0000
   5.500   0.6715   0.02523   0.01450  -0.0089   0.3812   1.0000
   5.750   0.6876   0.02569   0.01488  -0.0069   0.3612   1.0000
   6.000   0.7032   0.02618   0.01536  -0.0049   0.3413   1.0000
   6.250   0.7186   0.02672   0.01586  -0.0029   0.3221   1.0000
   6.500   0.7338   0.02730   0.01639  -0.0008   0.3037   1.0000
   6.750   0.7487   0.02792   0.01697   0.0013   0.2860   1.0000
   7.000   0.7633   0.02859   0.01760   0.0034   0.2693   1.0000
   7.250   0.7775   0.02930   0.01826   0.0055   0.2533   1.0000
   7.500   0.7915   0.03005   0.01895   0.0076   0.2384   1.0000
   7.750   0.8051   0.03084   0.01966   0.0097   0.2244   1.0000
   8.000   0.8186   0.03169   0.02054   0.0118   0.2107   1.0000
   8.250   0.8318   0.03262   0.02149   0.0138   0.1978   1.0000
   8.500   0.8451   0.03360   0.02246   0.0158   0.1864   1.0000
   8.750   0.8583   0.03456   0.02331   0.0177   0.1764   1.0000
   9.000   0.8706   0.03567   0.02455   0.0196   0.1660   1.0000
   9.250   0.8833   0.03683   0.02572   0.0214   0.1574   1.0000
   9.500   0.8955   0.03796   0.02686   0.0232   0.1494   1.0000
   9.750   0.9069   0.03932   0.02831   0.0250   0.1420   1.0000
  10.000   0.9185   0.04059   0.02962   0.0268   0.1356   1.0000
  10.250   0.9295   0.04205   0.03114   0.0284   0.1299   1.0000
  10.500   0.9376   0.04365   0.03289   0.0303   0.1244   1.0000
  10.750   0.9496   0.04495   0.03413   0.0318   0.1201   1.0000
  11.000   0.9532   0.04691   0.03629   0.0339   0.1161   1.0000
  11.250   0.9549   0.04894   0.03854   0.0359   0.1123   1.0000
  11.500   0.9606   0.05075   0.04041   0.0374   0.1091   1.0000
  11.750   0.9748   0.05230   0.04186   0.0383   0.1063   1.0000
  12.000   0.9636   0.05551   0.04544   0.0401   0.1042   1.0000
  12.250   0.9511   0.05905   0.04927   0.0410   0.1023   1.0000
  12.500   0.9371   0.06298   0.05343   0.0412   0.1005   1.0000
  12.750   0.9211   0.06742   0.05808   0.0406   0.0990   1.0000
  13.000   0.9015   0.07269   0.06353   0.0391   0.0978   1.0000
  13.250   0.8598   0.08171   0.07281   0.0346   0.0975   1.0000
