  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 0015                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.500 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -19.500  -1.2035   0.10925   0.10499  -0.0097   1.0000   0.0270
 -19.250  -1.2134   0.10396   0.09961  -0.0123   1.0000   0.0272
 -19.000  -1.2233   0.09873   0.09428  -0.0148   1.0000   0.0274
 -18.750  -1.2330   0.09358   0.08903  -0.0172   1.0000   0.0277
 -18.500  -1.2424   0.08854   0.08388  -0.0194   1.0000   0.0279
 -18.250  -1.2514   0.08364   0.07888  -0.0216   1.0000   0.0282
 -18.000  -1.2597   0.07888   0.07402  -0.0237   1.0000   0.0284
 -17.750  -1.2674   0.07429   0.06931  -0.0256   1.0000   0.0287
 -17.500  -1.2744   0.06988   0.06480  -0.0274   1.0000   0.0289
 -17.250  -1.2802   0.06571   0.06051  -0.0290   1.0000   0.0292
 -17.000  -1.2847   0.06178   0.05647  -0.0305   1.0000   0.0294
 -16.750  -1.2893   0.05793   0.05251  -0.0319   1.0000   0.0296
 -16.500  -1.2961   0.05391   0.04840  -0.0332   1.0000   0.0299
 -16.250  -1.3010   0.05022   0.04463  -0.0343   1.0000   0.0302
 -16.000  -1.3034   0.04691   0.04124  -0.0352   1.0000   0.0305
 -15.750  -1.3038   0.04392   0.03817  -0.0359   1.0000   0.0308
 -15.500  -1.3022   0.04125   0.03541  -0.0364   1.0000   0.0312
 -15.250  -1.2990   0.03884   0.03292  -0.0366   1.0000   0.0316
 -15.000  -1.2946   0.03665   0.03064  -0.0366   1.0000   0.0320
 -14.750  -1.2892   0.03465   0.02855  -0.0365   1.0000   0.0324
 -14.500  -1.2826   0.03285   0.02667  -0.0361   1.0000   0.0328
 -14.250  -1.2748   0.03123   0.02497  -0.0356   1.0000   0.0332
 -14.000  -1.2658   0.02980   0.02345  -0.0349   1.0000   0.0337
 -13.750  -1.2568   0.02844   0.02202  -0.0340   1.0000   0.0341
 -13.500  -1.2502   0.02698   0.02050  -0.0328   1.0000   0.0346
 -13.250  -1.2414   0.02576   0.01923  -0.0315   1.0000   0.0351
 -13.000  -1.2310   0.02471   0.01813  -0.0301   1.0000   0.0357
