  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 23012  12%                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.500  -0.5870   0.09595   0.08841  -0.0226   1.0000   0.0639
 -10.250  -0.5904   0.09081   0.08329  -0.0252   1.0000   0.0633
 -10.000  -0.5998   0.08537   0.07785  -0.0283   1.0000   0.0627
  -9.750  -0.6142   0.08027   0.07271  -0.0306   1.0000   0.0622
  -9.500  -0.6311   0.07586   0.06824  -0.0312   1.0000   0.0618
  -9.250  -0.6452   0.07164   0.06390  -0.0311   1.0000   0.0616
  -9.000  -0.6557   0.06757   0.05964  -0.0305   1.0000   0.0616
  -8.750  -0.6626   0.06371   0.05553  -0.0294   1.0000   0.0619
  -8.500  -0.6662   0.06003   0.05154  -0.0280   1.0000   0.0624
  -8.250  -0.6664   0.05654   0.04768  -0.0263   1.0000   0.0629
  -8.000  -0.6630   0.05325   0.04399  -0.0245   1.0000   0.0634
  -7.750  -0.6562   0.05017   0.04051  -0.0225   1.0000   0.0637
  -7.500  -0.6463   0.04733   0.03725  -0.0206   1.0000   0.0640
  -7.250  -0.6330   0.04470   0.03440  -0.0190   1.0000   0.0649
  -7.000  -0.6164   0.04264   0.03231  -0.0178   1.0000   0.0667
  -6.750  -0.6003   0.04070   0.03018  -0.0163   1.0000   0.0687
  -6.500  -0.5835   0.03871   0.02791  -0.0146   1.0000   0.0706
  -6.250  -0.5650   0.03675   0.02562  -0.0130   1.0000   0.0720
  -6.000  -0.5453   0.03498   0.02351  -0.0115   1.0000   0.0738
  -5.750  -0.5248   0.03335   0.02168  -0.0101   1.0000   0.0765
  -5.500  -0.5035   0.03191   0.02025  -0.0091   1.0000   0.0796
  -5.250  -0.4810   0.03058   0.01882  -0.0079   1.0000   0.0825
  -5.000  -0.4582   0.02944   0.01752  -0.0067   1.0000   0.0863
  -4.750  -0.4356   0.02826   0.01635  -0.0056   1.0000   0.0907
  -4.500  -0.4139   0.02725   0.01537  -0.0043   1.0000   0.0954
  -4.250  -0.3926   0.02646   0.01445  -0.0029   1.0000   0.1014
  -4.000  -0.3732   0.02551   0.01359  -0.0015   1.0000   0.1077
  -3.750  -0.3539   0.02478   0.01279   0.0000   1.0000   0.1158
  -3.500  -0.3356   0.02396   0.01201   0.0014   1.0000   0.1255
  -3.250  -0.3170   0.02319   0.01128   0.0027   1.0000   0.1388
  -3.000  -0.2989   0.02234   0.01059   0.0039   1.0000   0.1613
  -2.750  -0.2866   0.02033   0.01003   0.0054   1.0000   0.3534
  -2.500  -0.2775   0.01928   0.01036   0.0100   1.0000   0.6318
  -2.250  -0.2596   0.01930   0.01081   0.0137   1.0000   0.7606
  -2.000  -0.2149   0.01980   0.01138   0.0128   0.9945   0.8630
  -1.750  -0.1272   0.02074   0.01208   0.0042   0.9937   0.9503
  -1.500  -0.0429   0.02089   0.01194  -0.0067   0.9859   0.9764
  -1.250   0.0275   0.02075   0.01158  -0.0156   0.9711   0.9878
  -1.000   0.0968   0.02047   0.01113  -0.0242   0.9525   0.9977
  -0.750   0.1492   0.02014   0.01067  -0.0294   0.9271   1.0000
  -0.500   0.1895   0.01983   0.01026  -0.0320   0.8966   1.0000
  -0.250   0.2244   0.01955   0.00987  -0.0332   0.8644   1.0000
   0.000   0.2544   0.01932   0.00952  -0.0334   0.8313   1.0000
   0.250   0.2807   0.01915   0.00922  -0.0327   0.7981   1.0000
   0.500   0.3044   0.01905   0.00897  -0.0315   0.7649   1.0000
   0.750   0.3265   0.01902   0.00877  -0.0300   0.7319   1.0000
   1.000   0.3479   0.01904   0.00862  -0.0283   0.6991   1.0000
   1.250   0.3687   0.01912   0.00851  -0.0266   0.6666   1.0000
   1.500   0.3893   0.01925   0.00845  -0.0249   0.6344   1.0000
   1.750   0.4097   0.01944   0.00846  -0.0232   0.6027   1.0000
   2.000   0.4300   0.01967   0.00852  -0.0216   0.5719   1.0000
   2.250   0.4504   0.01994   0.00861  -0.0201   0.5426   1.0000
   2.500   0.4709   0.02026   0.00873  -0.0186   0.5159   1.0000
   2.750   0.4917   0.02061   0.00896  -0.0172   0.4898   1.0000
   3.000   0.5132   0.02100   0.00917  -0.0160   0.4664   1.0000
   3.250   0.5349   0.02141   0.00946  -0.0149   0.4450   1.0000
   3.500   0.5568   0.02186   0.00981  -0.0138   0.4254   1.0000
   3.750   0.5789   0.02232   0.01018  -0.0128   0.4076   1.0000
   4.000   0.6012   0.02281   0.01059  -0.0119   0.3917   1.0000
